&c.	etc.
dressd	dressed
dress'd	dressed
drest	dressed
drew'st	drewest
drily	dryly
drinketh	drinks
drinkin	drinking
drinkin'	drinking
drink'st	drinkest
driv	driven
driveth	drives
droopeth	droops
droppeth	drops
dropt	dropped
drowing	drowning
drownded	drowned
dry-foot	dryfoot
'dst	wouldst
duchess'	duchess's
duelling	dueling
dulness	dullness
dun	don't
dun-coloured	dun-colored
dunno	don't
dunnot	don't
dunnut	don't
duodecimoes	duodecimos
dureing	during
durs'	dares
dursn't	daren't
durst	dared
durstna	durstn't
dustn't	durstn't
Dut	Dutch
dutch	Dutch
dwelleth	dwells
dwelt	dwelled
dwollers	dwellers
dye	die
dy'e-call-'em	dy'e-call-'ems
dyeing	dying
dyin'	dying
'ead head
'ealth	health
'ealthiest	healthiest
'ear	year
'eard heard
'earers hearers
earnins	earnings
'ears	years
'eart	heart
earth-bound	earthbound
'eart-rendin heart-rending
ear-wax	earwax
easeth	eases
eated'st	eatedest
eatin	eating
eatin'	eating
eawr	our
eawt	out
eber	ever
ebrew	hebrew'
ECCL	Eccl
ech	each
eche	eke
echo'st	echoest
ecstacy	ecstasy
ECUADOR	Ecuador
EDGAR	Edgar
'edge-row hedge-row
Edinbro'	Edinborough
Edinbroo'	Edinborough
ee	thee
'ee	thee
e'en	even
e'er	ever
e'er-remaining	ever-remaining
ee've	thee'd
egal	equal
egally	equally
egg-shell	eggshell
egg-shells	eggshells
egma	enigma
eh?	eh
eight-pences	eight-pence
'eiress heiress
eld	old
eldest	oldest
eld'st	oldest
elightened	enlightened
ELIZA	Eliza
ELIZA'S	Eliza's
ELLERY	Ellery
'elp help
else's	else
em	them
'em	them
embattailed	embattled
embowelled	emboweled
embowelling	emboweling
Embro'	Embro
Em'ly	Emily
EM'LY	EMILY
EMMELINE	Emmeline
empale	impale
emperial	imperial
emperial's	imperial's
emply	employ
empress'	empress's
'em's	em's
enah	enough
enamelled	enameled
encloseth	encloses
encompasseth	encompasses
endeavoring	endeavouring
endeavors	endeavours
ENDERBY	Enderby
endured'st	enduredest
endureth	endures
eneugh	enough
enforced	inforced
enforces	inforces
enforcest	inforcest
enginer	engineer
engirt	engirded
ENGLAND	England
english	English
engraffed	engrafted
engraft	engrafted
enjoineth	enjoins
enlargeth	enlarges
ENNERDALE	Ennerdale
enoo	enough
enoo'	enough
enoof	enough
enought	enough
enow	enough
enpierced	empierced
enquire	inquire
enquired	inquired
enquiring	inquiring
enquiringly	inquiringly
en-r-r-r-raged	enraged
ensnareth	ensnares
ensteeped	insteeped
entail'd	entailed
entent	intent
enterance	entrance
enter'd	entered
entereated	entreated
entertain'st	entertainest
enticeth	entices
entreated	intreated
EOTHEN	Eothen
equalled	equaled
equils	equals
'er	her
Ercles	Hercules
Ercles'	Hercules'
'ere	here
'ermit	hermit
escapedst	escapedest
escapend	escaped
'esitation	hesitation
ESQ	Esq
essayeth	essays
esteemeth	esteems
esteem'st	esteemest
ESTHER'S	Esther's
estridges	ostriches
Ethiope	Ethiop
Ethiope's	Ethiop's
Ethiopes	Ethiops'
EVA	Eva
EVANGELINE	Evangeline
EVA'S	Eva's
even-Christian	even-christian
evenin'	evening
evenue	avenue
ever-during	everduring
evere	ever
ever-living	everliving
everthing	everything
everythin'	everything
everythink	everything
everyways	everyway
everywhar	everywhere
everywheres	everywhere
ev'n	even
ev'ry	every
exalteth	exalts
exceedeth	exceeds
excelleth	excels
exhorter	exhorte
exist'st	existest
expence	expense
expences	expenses
expresseth	expresses
extacy	ecstasy
extasies	ecstasies
extatic	ecstatic
extremitie	extremity
extro'rnary	extraordinary
extry	extra
ey	they
eye-brows	eyebrows
eye-lashes	eyelashes
eye-sore	eyesore
eye-strings	eyestrings
eying	eyeing
eyne	eyes
EZEKIEL	Ezekiel
fadeth	fades
faery	fairy
fagots	faggots
